stop_id,stop_name,stop_lat,stop_lon,route_short_name,route_type,route_color
at:49:49:0:2,Am Spiegeln,48.15235615,16.28193758,58B,3,0A295D
at:49:49:0:1,Am Spiegeln,48.15244005,16.28200944,58B,3,0A295D
at:49:49:0:1,Am Spiegeln,48.15244005,16.28200944,60A,3,0A295D
at:49:49:0:2,Am Spiegeln,48.15235615,16.28193758,60A,3,0A295D
at:49:50:0:5,Am Spitz,48.25831893,16.39709261,26,0,C00808
at:49:50:0:2,Am Spitz,48.25824118,16.39754177,26,0,C00808
at:49:50:0:5,Am Spitz,48.25831893,16.39709261,27,0,C00808
at:49:50:0:2,Am Spitz,48.25824118,16.39754177,27,0,C00808
at:49:50:0:3,Am Spitz,48.25739191,16.39756872,33A,3,0A295D
at:49:50:0:7,Am Spitz,48.2581754,16.39731719,34A,3,0A295D
at:49:50:0:4,Am Spitz,48.25840266,16.39734414,N20,3,0A295D
at:49:50:0:7,Am Spitz,48.2581754,16.39731719,N20,3,0A295D
at:49:50:0:3,Am Spitz,48.25739191,16.39756872,N29,3,0A295D
at:49:51:0:4,Am Tabor,48.22560577,16.38401314,2,0,C00808
at:49:51:0:8,Am Tabor,48.225516,16.38375263,2,0,C00808
at:49:51:0:7,Am Tabor,48.22510306,16.38402213,5,0,C00808
at:49:51:0:3,Am Tabor,48.22552797,16.38304296,5,0,C00808
at:49:51:0:4,Am Tabor,48.22560577,16.38401314,N29,3,0A295D
at:49:51:0:8,Am Tabor,48.225516,16.38375263,N29,3,0A295D
at:49:51:0:7,Am Tabor,48.22510306,16.38402213,O,0,C00808
at:49:54:0:1,Ameisbachzeile/Hanusch-Krankenhaus,48.20144634,16.29215142,51A,3,0A295D
at:49:54:0:2,Ameisbachzeile/Hanusch-Krankenhaus,48.20140443,16.29199871,51A,3,0A295D
at:49:55:0:6,Ameisgasse,48.19382981,16.29993083,49,0,C00808
at:49:55:0:3,Ameisgasse,48.1939376,16.2990954,49,0,C00808
at:49:55:0:5,Ameisgasse,48.19439271,16.29967032,51A,3,0A295D
at:49:55:0:2,Ameisgasse,48.19473404,16.29949066,51A,3,0A295D
at:49:55:0:6,Ameisgasse,48.19382981,16.29993083,52,0,C00808
at:49:55:0:3,Ameisgasse,48.1939376,16.2990954,52,0,C00808
at:49:57:0:1,Ammerweg,48.2185375,16.26043191,52B,3,0A295D
at:49:57:0:2,Ammerweg,48.21848363,16.26048581,52B,3,0A295D
at:49:58:0:1,Amongasse,48.23026155,16.46931716,95B,3,0A295D
at:49:1703:0:1,Amtshaus Muthgasse,48.25179353,16.36956823,5B,3,0A295D
at:49:59:0:2,An den Steinfeldern,48.13758695,16.29833183,61A,3,0A295D
at:49:59:0:4,An den Steinfeldern,48.13704741,16.29793657,61A,3,0A295D
at:49:59:0:1,An den Steinfeldern,48.13714333,16.29852048,64A,3,0A295D
at:49:59:0:3,An den Steinfeldern,48.13729321,16.29908642,64A,3,0A295D
at:49:60:0:3,An den alten Schanzen,48.22667699,16.48810992,84A,3,0A295D
at:49:60:0:2,An den alten Schanzen,48.22638974,16.49006825,84A,3,0A295D
at:49:60:0:1,An den alten Schanzen,48.22667101,16.48997841,97A,3,0A295D
at:49:60:0:2,An den alten Schanzen,48.22638974,16.49006825,97A,3,0A295D
at:49:60:0:2,An den alten Schanzen,48.22638974,16.49006825,N84,3,NA
at:49:60:0:3,An den alten Schanzen,48.22667699,16.48810992,N84,3,NA
at:49:61:0:6,An den langen Lüssen,48.25246345,16.34181927,38,0,C00808
at:49:61:0:5,An den langen Lüssen,48.25300776,16.341963,38,0,C00808
at:49:61:0:2,An den langen Lüssen,48.25243952,16.34198097,N38,3,0A295D
